"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"J","397.0","Bivins, Thomas Harvey","0.0","54.0","25.0","54.0","449.0","84.0","106.0","342.0","9.0","2.0","67.0","0.0","24.0","14.0","17.0","2.0","34.0","1249.0"
"J","397.0","Deitz, Charles Edward","1.0","4.0","12.0","10.0","16.0","10.0","4.0","4.0","3.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","3.0","66.0"
"J","397.0","Diop, Layire ","11.0","36.0","6.0","3.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","58.0"
"J","397.0","Pittman, Matthew Childs","5.0","17.0","3.0","4.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","33.0"
"J","397.0","Pompper, Donnalyn ","58.0","12.0","1.0","11.0","3.0","1.0","2.0","1.0","1.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","4.0","93.0"
"J","397.0","Schwartz, Jennifer Trinneer","2.0","16.0","25.0","34.0","25.0","20.0","13.0","7.0","2.0","2.0","0.0","0.0","1.0","2.0","0.0","0.0","4.0","149.0"
"J","397.0","Swartz, Jeremy David","0.0","23.0","60.0","35.0","30.0","15.0","17.0","5.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","2.0","189.0"
"J","397.0","Williams, Mara Corinne","0.0","4.0","5.0","7.0","8.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","30.0"
"J","399.0","Anderson, Shannon Matthew","1.0","24.0","25.0","15.0","9.0","3.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","79.0"
"J","399.0","Asbury, Steven Bradford","0.0","14.0","59.0","60.0","55.0","7.0","0.0","3.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","200.0"
"J","399.0","Atkinson, Miranda Dylan Black","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","6.0","0.0","0.0","25.0"
"J","399.0","Dahmen, Nicole Elise Smith","0.0","22.0","25.0","4.0","18.0","2.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","74.0"
